Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
280,1000000,1000000,8.10,78.67,2000000,87590,7.05290558282909,4.2224245792591315
290,1000000,1000000,8.15,78.36,2000000,90347,7.058231042536,4.224242921659123
300,1000000,1000000,6.74,77.91,2000000,57924,7.121676679787307,4.34653475695682
310,1000000,1000000,8.24,78.50,2000000,96424,7.071538206255704,4.2275934377351625
320,1000000,1000000,8.32,78.72,2000000,99815,7.082883334168211,4.220707024403132
330,1000000,1000000,8.43,78.08,2000000,101987,7.071313010481728,4.2341484462960635
340,1000000,1000000,8.33,78.81,2000000,104357,7.058395699378097,4.235253185884554
350,1000000,1000000,6.82,78.38,2000000,67643,7.091923776296143,4.318836921491642
360,1000000,1000000,7.14,79.45,2000000,108308,7.055111349115485,4.2345940618213085
370,1000000,1000000,7.54,79.89,2000000,110458,7.078545691575078,4.246107403414787
380,1000000,1000000,7.59,79.14,2000000,111948,7.0756601279165325,4.247391317416534
390,1000000,1000000,7.57,79.73,2000000,114350,7.060673371228684,4.238705009245758
400,1000000,1000000,7.24,78.11,2000000,76316,7.132475496619319,4.3237105073067665
410,1000000,1000000,7.17,79.47,2000000,118574,7.0606372391924035,4.235359020475052
420,1000000,1000000,8.78,79.81,2000000,120540,7.068889995022399,4.244169475298768
430,1000000,1000000,8.83,79.22,2000000,122906,7.07623712430638,4.25240968704772
440,1000000,1000000,8.94,79.25,2000000,125552,7.057601631196635,4.230839654441305
450,1000000,1000000,6.99,78.83,2000000,85919,7.098779082624333,4.322696846074889
460,1000000,1000000,9.30,79.69,2000000,129654,7.077452296111188,4.2515140996834795
470,1000000,1000000,9.15,79.27,2000000,131850,7.064087978763746,4.23262010747852
480,1000000,1000000,9.15,80.11,2000000,134405,7.056069342658383,4.2419632384379975
490,1000000,1000000,9.25,80.03,2000000,137099,7.066236806978899,4.2432075666308995
500,1000000,1000000,6.67,75.97,2000000,34069,7.373594763568053,4.457208140784619
