Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,1000000,1000000,9.39,9.34,2000000,356942,10.501383978349423,4.417357565370027
2,1000000,1000000,6.28,12.46,2000000,356126,10.489905258251293,4.419905581295843
5,1000000,1000000,4.37,19.97,2000000,356547,10.50665690638261,4.401619533044036
10,1000000,1000000,4.32,32.18,2000000,356721,10.50406339968771,4.413120092742361
20,1000000,1000000,4.25,27.06,2000000,356129,10.485253938881698,4.411427271222975
30,1000000,1000000,4.21,30.27,2000000,356217,10.501031674513008,4.407533699306037
40,1000000,1000000,4.14,28.50,2000000,356886,10.49149027980924,4.415957895030899
50,1000000,1000000,4.22,31.33,2000000,356351,10.502889005503,4.416233042522483
60,1000000,1000000,4.15,29.76,2000000,357207,10.498965585780795,4.412565580685046
70,1000000,1000000,4.12,30.00,2000000,356531,10.49992006305202,4.4134578040372485
80,1000000,1000000,4.09,28.61,2000000,356596,10.492330256088122,4.4097929485618454
90,1000000,1000000,4.08,28.00,2000000,356816,10.494694744630285,4.416032576142694
100,1000000,1000000,4.10,28.86,2000000,356358,10.502385241807396,4.417514559754939
110,1000000,1000000,4.09,28.29,2000000,356178,10.505643245792834,4.413083849832203
120,1000000,1000000,4.22,31.79,2000000,356140,10.507050598079408,4.411414673923054
130,1000000,1000000,4.20,31.55,2000000,356143,10.490847777437715,4.404904909678786
140,1000000,1000000,4.23,32.21,2000000,355608,10.507826033160109,4.414835209087401
150,1000000,1000000,4.21,31.61,2000000,356052,10.50286194151416,4.413371126602519
160,1000000,1000000,4.19,31.36,2000000,355792,10.493566465800242,4.414378957500457
170,1000000,1000000,4.63,35.23,2000000,355761,10.482464351067149,4.4158552432553035
180,1000000,1000000,4.84,34.45,2000000,356433,10.50416207253537,4.421018002235867
190,1000000,1000000,4.74,35.01,2000000,355410,10.507906361666807,4.409031544974316
200,1000000,1000000,4.77,34.03,2000000,355981,10.49888336737073,4.411593526359658
210,1000000,1000000,4.76,35.40,2000000,355865,10.509229623593216,4.412119232568266
