Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
490,10000,10000,0.23,3.45,20000,4744,7.5080101180438445,4.39062731095996
500,10000,10000,0.22,3.44,20000,2063,7.929714008725157,4.410705197045041
1,100000,100000,4.98,4.98,200000,345,7.04927536231884,4.293099627918532
10,100000,100000,2.25,21.61,200000,2044,7.006360078277886,4.2578951065768464
20,100000,100000,2.28,32.25,200000,4045,7.186897404202719,4.358521831140448
30,100000,100000,2.23,33.53,200000,5840,7.092465753424658,4.307341250022216
40,100000,100000,2.21,34.00,200000,7815,7.076903390914907,4.33021983525201
50,100000,100000,2.23,33.73,200000,3522,7.394094264622374,4.471468995632108
60,100000,100000,2.22,33.92,200000,11450,7.105502183406114,4.318834608443984
70,100000,100000,2.23,34.42,200000,13486,7.137920806762569,4.3374824034517685
80,100000,100000,2.23,34.39,200000,15481,7.092048317292164,4.312455902840557
90,100000,100000,2.33,33.31,200000,17356,7.076054390412537,4.322651161357606
100,100000,100000,2.22,34.45,200000,6801,7.344655197765035,4.418079969858459
110,100000,100000,2.36,33.38,200000,20905,7.128007653671371,4.321287893941091
120,100000,100000,2.38,32.58,200000,22834,7.142156433388807,4.309717849960902
130,100000,100000,2.25,32.22,200000,24558,7.091253359394088,4.33334560773892
140,100000,100000,2.22,34.23,200000,26201,7.103431166749361,4.324745509602686
150,100000,100000,2.23,34.02,200000,10145,7.402562838836865,4.44425174325134
160,100000,100000,2.23,34.31,200000,29602,7.090906019863523,4.3312176540431775
170,100000,100000,2.23,34.31,200000,30129,7.118656443957649,4.326011876743837
180,100000,100000,2.39,30.83,200000,30542,7.092495579857245,4.3425026760008345
190,100000,100000,2.27,31.98,200000,31012,7.16983748226493,4.345129955676599
200,100000,100000,2.23,35.08,200000,13582,7.367177146222942,4.460858971328096
210,100000,100000,2.24,34.95,200000,31946,7.156420209102861,4.353194354346596
220,100000,100000,2.23,33.72,200000,32475,7.139307159353349,4.327232631066483
230,100000,100000,2.37,28.80,200000,33148,7.126975986484855,4.343546928228893
240,100000,100000,2.25,33.08,200000,33408,7.130447796934866,4.344331415636553
250,100000,100000,2.23,33.00,200000,4337,7.727461378833295,4.388161787375433
260,100000,100000,2.25,30.50,200000,34887,7.174649582939204,4.340290992363029
270,100000,100000,2.26,33.03,200000,35466,7.144532791969774,4.383051592606806
280,100000,100000,2.25,33.31,200000,36205,7.162132302168208,4.3789728032342055
290,100000,100000,2.23,31.02,200000,36852,7.190111798545534,4.372750689985089
300,100000,100000,2.23,35.17,200000,19881,7.333484231175494,4.438009185496196
310,100000,100000,2.26,35.25,200000,37883,7.158144814296651,4.367621707714591
320,100000,100000,2.25,34.48,200000,38865,7.197195420043741,4.3545955525663045
330,100000,100000,2.25,35.14,200000,38697,7.1860867767527195,4.3604904680779635
